Date,GOOG,AAPL
5/7/2009,396.61,129.06
5/8/2009,407.33,129.19
5/11/2009,407.98,129.57
5/12/2009,399.01,124.42
5/13/2009,389.54,119.49
5/14/2009,387.5,122.95
5/15/2009,390,122.42
5/18/2009,396.84,126.65
5/19/2009,398.88,127.45
5/20/2009,397.18,125.87
5/21/2009,396.5,124.18
5/22/2009,393.5,122.5
5/26/2009,404.36,130.78
5/27/2009,405.56,133.05
5/28/2009,410.4,135.07
5/29/2009,417.23,135.81
6/1/2009,426.56,139.35
6/2/2009,428.4,139.49
6/3/2009,431.65,140.95
6/4/2009,440.28,143.74
6/5/2009,444.32,144.67
6/8/2009,438.77,143.85
6/9/2009,435.62,142.72
6/10/2009,432.6,140.25
6/11/2009,429,139.95
6/12/2009,424.84,136.97
6/15/2009,416.77,136.09
6/16/2009,416,136.35
6/17/2009,415.16,135.58
6/18/2009,414.06,135.88
6/19/2009,420.09,139.48
6/22/2009,407.35,137.37
6/23/2009,405.68,134.01
6/24/2009,409.29,136.22
6/25/2009,415.77,139.86
6/26/2009,425.32,142.44
6/29/2009,424.14,141.97
6/30/2009,421.59,142.43
7/1/2009,418.99,142.83
7/2/2009,408.49,140.02
7/6/2009,409.61,138.61
7/7/2009,396.63,135.4
7/8/2009,402.49,137.22
7/9/2009,410.39,136.36
7/10/2009,414.4,138.52
7/13/2009,424.3,142.34
7/14/2009,424.69,142.27
7/15/2009,438.17,146.88
7/16/2009,442.6,147.52
7/17/2009,430.25,151.75
7/20/2009,430.17,152.91
7/21/2009,427.9,151.51
7/22/2009,427.69,156.74
7/23/2009,437.34,157.82
7/24/2009,446.72,159.99
7/27/2009,444.8,160.1
7/28/2009,439.85,160
7/29/2009,436.24,160.03
7/30/2009,445.64,162.79
7/31/2009,443.05,163.39
8/3/2009,452.21,166.43
8/4/2009,453.73,165.55
8/5/2009,451.14,165.11
8/6/2009,450.36,163.91
8/7/2009,457.1,165.51
8/10/2009,456.61,164.72
8/11/2009,453.94,162.83
8/12/2009,458.58,165.31
8/13/2009,462.28,168.42
8/14/2009,460,166.78
8/17/2009,444.89,159.59
8/18/2009,445.28,164
8/19/2009,443.97,164.6
8/20/2009,460.41,166.33
8/21/2009,465.24,169.22
8/24/2009,468.73,169.06
8/25/2009,471.37,169.4
8/26/2009,468,167.41
8/27/2009,466.06,169.45
8/28/2009,464.75,170.05
8/31/2009,461.67,168.21
9/1/2009,455.76,165.3
9/2/2009,453.01,165.18
9/3/2009,457.52,166.55
9/4/2009,461.3,170.31
9/8/2009,458.62,172.93
9/9/2009,463.97,171.14
9/10/2009,470.94,172.56
9/11/2009,472.14,172.16
9/14/2009,475.12,173.72
9/15/2009,477.54,175.16
9/16/2009,488.29,181.87
9/17/2009,491.72,184.55
9/18/2009,491.46,185.02
9/21/2009,497,184.02
9/22/2009,499.06,184.48
9/23/2009,498.46,185.5
9/24/2009,496.77,183.82
9/25/2009,492.48,182.37
9/28/2009,498.53,186.15
9/29/2009,498.53,185.38
9/30/2009,495.85,185.35
10/1/2009,487.2,180.86
10/2/2009,484.58,184.9
10/5/2009,488.52,186.02
10/6/2009,498.74,190.01
10/7/2009,517.54,190.25
10/8/2009,514.18,189.27
10/9/2009,516.25,190.47
10/12/2009,524.04,190.81
10/13/2009,526.11,190.02
10/14/2009,535.32,191.29
10/15/2009,529.91,190.56
10/16/2009,549.85,188.05
10/19/2009,552.09,189.86
10/20/2009,551.72,198.76
10/21/2009,551.1,204.92
10/22/2009,554.09,205.2
10/23/2009,553.69,203.94
10/26/2009,554.21,202.48
10/27/2009,548.29,197.37
10/28/2009,540.3,192.4
10/29/2009,551.05,196.35
10/30/2009,536.12,188.5
11/2/2009,533.99,189.31
11/3/2009,537.29,188.75
11/4/2009,540.33,190.81
11/5/2009,548.65,194.03
11/6/2009,551.1,194.34
11/9/2009,562.51,201.46
11/10/2009,566.76,202.98
11/11/2009,570.56,203.25
11/12/2009,567.85,201.99
11/13/2009,572.05,204.45
11/16/2009,576.28,206.63
11/17/2009,577.49,207
11/18/2009,576.65,205.96
11/19/2009,572.99,200.51
11/20/2009,569.96,199.92
11/23/2009,582.35,205.88
11/24/2009,583.09,204.44
11/25/2009,585.74,204.19
11/27/2009,579.76,200.59
11/30/2009,583,199.91
12/1/2009,589.87,196.97
12/2/2009,587.51,196.23
12/3/2009,585.74,196.48
12/4/2009,585.01,193.32
12/7/2009,586.25,188.95
12/8/2009,587.05,189.87
12/9/2009,589.02,197.8
12/10/2009,591.5,196.43
12/11/2009,590.51,194.67
12/14/2009,595.73,196.98
12/15/2009,593.14,194.17
12/16/2009,597.76,195.03
12/17/2009,593.94,191.86
12/18/2009,596.42,195.43
12/21/2009,598.68,198.23
12/22/2009,601.12,200.36
12/23/2009,611.68,202.1
12/24/2009,618.48,209.04
12/28/2009,622.87,211.61
12/29/2009,619.4,209.1
12/30/2009,622.73,211.64
12/31/2009,619.98,210.73
1/4/2010,626.75,214.01
1/5/2010,623.99,214.38
1/6/2010,608.26,210.97
1/7/2010,594.1,210.58
1/8/2010,602.02,211.98
1/11/2010,601.11,210.11
1/12/2010,590.48,207.72
1/13/2010,587.09,210.65
1/14/2010,589.85,209.43
1/15/2010,580,205.93
1/19/2010,587.62,215.04
1/20/2010,580.41,211.73
1/21/2010,582.98,208.07
1/22/2010,550.01,197.75
1/25/2010,540,203.07
1/26/2010,542.42,205.94
1/27/2010,542.1,207.88
1/28/2010,534.29,199.29
1/29/2010,529.94,192.06
2/1/2010,533.02,194.73
2/2/2010,531.12,195.86
2/3/2010,540.82,199.23
2/4/2010,526.78,192.05
2/5/2010,531.29,195.46
2/8/2010,533.47,194.12
2/9/2010,536.44,196.19
2/10/2010,534.45,195.12
2/11/2010,536.4,198.67
2/12/2010,533.12,200.38
2/16/2010,541.3,203.4
2/17/2010,538.21,202.55
2/18/2010,543.22,202.93
2/19/2010,540.76,201.67
2/22/2010,542.8,200.42
2/23/2010,535.07,197.06
2/24/2010,531.47,200.66
2/25/2010,526.43,202
2/26/2010,526.8,204.62
3/1/2010,532.69,208.99
3/2/2010,541.06,208.85
3/3/2010,545.32,209.33
3/4/2010,554.59,210.71
3/5/2010,564.21,218.95
3/8/2010,562.48,219.08
3/9/2010,560.19,223.02
3/10/2010,576.45,224.84
3/11/2010,581.14,225.5
3/12/2010,579.54,226.6
3/15/2010,563.18,223.84
3/16/2010,565.2,224.45
3/17/2010,565.56,224.12
3/18/2010,566.4,224.65
3/19/2010,560,222.25
3/22/2010,557.5,224.75
3/23/2010,549,228.36
3/24/2010,557.33,229.37
3/25/2010,562.88,226.65
3/26/2010,562.69,230.9
3/29/2010,562.45,232.39
3/30/2010,566.71,235.85
3/31/2010,567.12,235
4/1/2010,568.8,235.97
4/5/2010,571.01,238.49
4/6/2010,568.22,239.54
4/7/2010,563.54,240.6
4/8/2010,567.49,239.95
4/9/2010,566.22,241.79
4/12/2010,572.73,242.29
4/13/2010,586.77,242.43
4/14/2010,589,245.69
4/15/2010,595.3,248.92
4/16/2010,550.15,247.4
4/19/2010,550.1,247.07
4/20/2010,555.04,244.59
4/21/2010,554.3,259.22
4/22/2010,547.06,266.47
4/23/2010,544.99,270.83
4/26/2010,531.64,269.5
4/27/2010,529.06,262.04
4/28/2010,529.19,261.6
4/29/2010,532,268.64
4/30/2010,525.7,261.09
5/3/2010,530.6,266.35
5/4/2010,506.37,258.68
5/5/2010,509.76,255.99
5/6/2010,498.67,246.25
